ID_FACTURA,fecha_facturacion,sector_consumo,ubicacion,volumen_consumo,tarifa,valor_total_factura,año,mes,direccion,latitud,longitud,cargo_distribucion,cargo_comercializacion,actividad_comprador,tipo_gas,precio_por_unidad,temporada
894191096739686153894191096,2023-01-04,GNCV,9999999999,10617.0,9999999999.0,15171690,2023,1,393081249448961139393081249,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1428.9997174343034,Verano
1792290457137156017922904,2023-01-03,GNCV,9999999999,38952.0,9999999999.0,61349400,2023,1,658091476239437657658091476,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural,1575.0,Verano
510669215567223827510669215,2023-01-03,GNCV,9999999999,1092.0,9999999999.0,1935020,2023,1,936364413700653473936364413,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1771.996336996337,Verano
21891727280389475218917272,2023-01-03,GNCV,9999999999,40168.0,9999999999.0,71177700,2023,1,750371099143592461750371099,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1772.0000995817566,Verano
619876509196246124619876509,2023-01-04,GNCV,9999999999,17010.0,9999999999.0,28303030,2023,1,763407052131357970763407052,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1663.9053497942386,Verano
309555638215099088309555638,2023-01-03,GNCV,9999999999,0.0,9999999999.0,4658530,2023,1,43518522577196143518522,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,,Verano
150449463456702717150449463,2023-01-03,GNCV,9999999999,25251.0,9999999999.0,42497430,2023,1,100338753464156891100338753,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1682.999881192824,Verano
865035708149778079865035708,2023-01-04,Comercializadoras de gas natural,9999999999,38501.0,9999999999.0,49655690,2023,1,532610280493434925532610280,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1289.72468247578,Verano
5188288642289880751882886,2023-01-04,Comercializadoras de gas natural,9999999999,830080.0,9999999999.0,1202059540,2023,1,245759341536369837245759341,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1448.1249277178104,Verano
948531969854149240948531969,2023-01-04,Comercializadoras de gas natural,9999999999,26951.0,9999999999.0,41752540,2023,1,116278086816031866116278086,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1549.20188490223,Verano
4219896644079823421989664,2023-01-04,Comercializadoras de gas natural,9999999999,123203.0,9999999999.0,176553576,2023,1,516479610627206916516479610,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1433.0298450524745,Verano
856321001422218015856321001,2023-01-04,Comercializadoras de gas natural,9999999999,259819.0,9999999999.0,61017320,2023,1,1292394384061720712923943,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Comercializador,Gas Natural Comprimido,234.8454885901339,Verano
764602280682521657764602280,2023-01-04,Comercializadoras de gas natural,9999999999,34452.0,9999999999.0,57510460,2023,1,36966725041940841369667250,9999999999.0,9999999999.0,9999999999.0,9999999999.0,Usuario No Regulado,Gas Natural Comprimido,1669.2923487751075,Verano
