valores_reales,predicciones_lr,predicciones_rf
9704.0,48834.291399859445,9948.03
36609.0,29036.07136877539,37694.96
17803.0,28214.268041596806,17668.46
1.0,-3504.745343890798,191.0
27798.0,54449.62850789848,27925.34
1852845.0,1508175.8016595813,1860405.77
82409.0,108336.84193484404,83077.97
27145.0,55053.99469585615,28507.78
974518.0,225324.31848798314,967277.85
14662.0,68535.93472874255,21150.04
17613.0,561522.7407534202,16859.6
946823.0,291603.8605710141,882968.58
2326.0,81083.61494256617,20420.33
104369.0,166562.21168406264,105596.41
85416.0,237851.36562742083,85945.4
35999.0,112589.04643787596,38945.43
21619.0,31143.997347498895,21003.25
14788.0,-12394.375152334542,14509.2
26299.0,17826.53442106623,26347.35
35595.0,51086.85292554926,35318.85
26951.0,126873.92902865434,26456.85
46639.0,98941.20315378557,46249.7
86034.0,-1872.676594882476,85642.11
35463.0,93345.18632597348,34448.96
65560.0,94158.80927755489,65911.74
1339212.0,1280730.4257637975,1635187.57
2767416.0,3619477.0277887504,2982458.06
43911.0,73201.43440441453,44480.35
29358.0,18178.04027872774,32183.51
49811.0,8170.039856588206,49263.7
77673.0,103664.89664857704,78945.79
118562.0,219336.19267313404,116677.86
21809.0,84313.68214684149,24933.1
2252655.0,1938480.7532598982,2396348.69
62377.0,1282.5732580210606,63588.39
570782.0,260264.26763420954,539436.08
13834.0,23749.402983271488,13148.27
31422.0,69788.26196057774,32054.74
120468.0,146118.82148810342,116305.32
33968.0,35946.53691689359,33972.38
57294.0,47150.19516913776,56588.85
766033.0,771534.7729932788,727731.81
26729.0,36324.582186625805,28077.39
58311.0,52025.149613115325,58174.87
63.0,320651.16300822573,42.31
44386.0,52042.894511212944,44957.04
29123.0,71651.61995239157,29001.44
362385.0,90943.4159318108,470727.64
107484.0,112507.5655256082,105937.97
45204.0,63373.580251797626,46452.56
48362.0,-13089.170460062276,46715.63
232572.0,235579.63358966773,223605.06
69573.0,101757.59334918391,67795.39
29240.0,19490.90529792497,29152.31
52249.0,35702.70747095632,52001.47
42167.0,31369.165654286102,42500.94
1043251.0,1594274.0080907242,1331315.46
184986.0,228889.6710044862,194559.18
83686.0,79494.25264560452,84145.7
38585.0,47837.11543167653,38976.95
55312.0,100579.60719741885,55022.0
22617.0,14321.701741582248,22226.16
40249.0,44585.58728037102,40729.25
969249.0,1241351.0134485322,910762.13
367539.0,142737.166020033,368402.86
37553.0,70973.28703515252,40366.9
30321.0,58359.46605352181,29990.31
26864.0,41690.030486690055,27616.92
506.0,-10292.270793706557,376.85
137279.0,42669.96379938134,136760.8
72554.0,164730.95129514995,74593.61
35070.0,18852.27453362741,34853.84
110941.0,104017.20041422549,108603.43
745179.0,1227620.8556396882,783050.15
2960670.0,2966625.303661187,2752775.63
67440.0,148047.96294916765,64136.15
54478.0,3401.6351934064005,54054.9
111255.0,224938.304442124,117114.85
21346.0,51983.662686588505,21468.42
20885.0,1182.0855362602742,21245.56
46289.0,60322.32157344182,46277.94
53482.0,54527.588215098745,53669.31
22087.0,7029.930568009062,22208.32
29008.0,28474.62225873,29209.53
52295.0,38208.33257510932,52095.23
107998.0,131904.69466585756,107459.95
74876.0,87654.42737462887,75399.59
60344.0,41092.79222928916,55824.92
5941.0,-1580.257396457484,6190.96
42899.0,53183.5735441873,42254.11
23.0,321467.2816042852,41.49
57415.0,27497.81057273157,56248.96
35125.0,49719.22252152668,34387.78
26869.0,48901.746503583185,27206.75
38501.0,214875.12679985337,38286.26
62835.0,5351.516078433604,62634.18
578747.0,758718.0079105535,620053.26
27060.0,17522.215961864946,27120.3
257.0,-5632.1448403287795,613.8
52097.0,61946.35216503902,52274.6
118265.0,30756.933879776538,118652.05
23840.0,44525.15438983729,23879.51
94061.0,188484.04784581254,92534.98
31622.0,-21316.18799423208,29895.54
86486.0,211195.58293160427,89985.45
112540.0,94112.70641351774,110809.41
169796.0,167241.59852098394,179149.35
52236.0,53553.928314951394,50705.27
962.0,-13131.746105511324,3184.73
10223.0,-160.8184144551342,10860.18
396442.0,292317.15993749176,289831.96
23276.0,35001.33187531569,22854.67
